Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура,city
19.03.2014,4.4,-6.7,0.1,988.2,3,1.0,-3.7,Voronezh
20.03.2014,4.8,-1.2,2.3,986.8,4,1.0,-1.8,Voronezh
21.03.2014,4.2,-3.4,0.8,1004.1,3,0.0,-3.1,Voronezh
22.03.2014,14.5,2.4,8.7,999.8,3,0.0,5.6,Voronezh
23.03.2014,17.7,5.5,11.7,998.2,3,0.0,8.7,Voronezh
24.03.2014,18.4,2.9,10.7,997.7,3,0.0,7.7,Voronezh
25.03.2014,16.4,3.9,9.7,996.1,3,0.0,7.0,Voronezh
26.03.2014,17.0,1.8,9.2,1000.1,3,0.0,6.3,Voronezh
27.03.2014,9.2,1.7,4.7,1004.8,3,0.0,1.5,Voronezh
28.03.2014,11.2,-1.2,4.3,993.6,4,0.0,0.1,Voronezh
29.03.2014,-0.2,-5.0,-1.9,994.1,6,,-8.0,Voronezh
30.03.2014,6.0,-4.4,1.3,992.8,4,0.0,-3.4,Voronezh
31.03.2014,10.2,-0.2,5.1,984.3,4,0.0,0.9,Voronezh
01.04.2014,2.1,-1.7,0.1,983.6,5,4.0,-4.8,Voronezh
01.01.2014,2.0,-1.0,0.7,,2,0.0,-2.3,NizhniNovgorod
02.01.2014,-2.0,-3.9,-2.6,,2,0.0,-5.8,NizhniNovgorod
03.01.2014,-3.0,-4.5,-3.1,,3,,-7.1,NizhniNovgorod
04.01.2014,-3.0,-5.3,-3.8,,4,,-8.5,NizhniNovgorod
05.01.2014,1.0,-5.2,-1.8,,4,5.0,-6.2,NizhniNovgorod
06.01.2014,1.0,-2.2,0.7,,1,1.0,-1.4,NizhniNovgorod
07.01.2014,1.0,-0.5,0.3,,1,,-1.8,NizhniNovgorod
08.01.2014,2.0,-0.5,1.6,,4,,-2.4,NizhniNovgorod
09.01.2014,2.0,0.7,1.4,,2,,-1.2,NizhniNovgorod
10.01.2014,2.0,0.4,1.3,,3,,-2.0,NizhniNovgorod
11.01.2014,2.0,0.0,1.4,,3,3.0,-1.9,NizhniNovgorod
12.01.2014,1.0,-3.2,-1.0,,3,1.0,-4.7,NizhniNovgorod
13.01.2014,1.0,-6.0,-0.8,,2,3.0,-3.7,NizhniNovgorod
14.01.2014,-6.0,-12.2,-9.1,,4,1.0,-14.2,NizhniNovgorod
15.01.2014,-9.0,-15.0,-10.8,,2,1.0,-14.8,NizhniNovgorod
16.01.2014,-9.0,-10.2,-9.0,,5,4.0,-14.8,NizhniNovgorod
17.01.2014,-9.0,-15.0,-10.4,,4,4.0,-15.6,NizhniNovgorod
18.01.2014,-15.0,-22.0,-17.8,,3,,-22.9,NizhniNovgorod
19.01.2014,-16.0,-24.0,-20.5,,2,,-25.1,NizhniNovgorod
20.01.2014,-8.0,-19.3,-11.8,,3,,-16.5,NizhniNovgorod
21.01.2014,-14.0,-26.0,-18.6,,1,,-22.5,NizhniNovgorod
22.01.2014,-14.0,-27.0,-21.5,,0,,-24.9,NizhniNovgorod
23.01.2014,-12.0,-20.7,-15.8,,3,,-20.8,NizhniNovgorod
24.01.2014,-14.0,-24.0,-18.5,,3,,-23.7,NizhniNovgorod
25.01.2014,-16.0,-28.0,-22.6,,1,,-26.7,NizhniNovgorod
26.01.2014,-15.0,-26.0,-19.7,,1,0.0,-23.6,NizhniNovgorod
27.01.2014,-14.0,-25.0,-17.6,,2,0.0,-22.1,NizhniNovgorod
28.01.2014,-19.0,-27.0,-22.1,,2,,-26.8,NizhniNovgorod
29.01.2014,-22.0,-33.0,-26.3,,2,0.0,-31.3,NizhniNovgorod
30.01.2014,-20.0,-33.0,-24.3,,1,0.0,-28.5,NizhniNovgorod
31.01.2014,-14.0,-26.0,-20.6,,1,0.0,-24.6,NizhniNovgorod
01.02.2014,-11.0,-27.0,-19.3,,1,0.0,-23.2,NizhniNovgorod
02.02.2014,-8.0,-15.2,-10.4,,4,,-15.8,NizhniNovgorod
03.02.2014,-8.0,-12.0,-8.9,,2,,-12.9,NizhniNovgorod
04.02.2014,-1.0,-9.7,-5.5,,3,3.0,-9.7,NizhniNovgorod
05.02.2014,-1.0,-9.2,-4.7,,3,,-8.9,NizhniNovgorod
06.02.2014,-8.0,-12.7,-9.4,,3,0.0,-13.9,NizhniNovgorod
07.02.2014,-9.0,-13.9,-10.2,,3,0.0,-14.8,NizhniNovgorod
08.02.2014,-6.0,-11.9,-7.2,,3,0.0,-11.5,NizhniNovgorod
09.02.2014,-4.0,-7.5,-5.4,,3,,-9.6,NizhniNovgorod
10.02.2014,-4.0,-6.9,-4.5,,4,0.0,-9.3,NizhniNovgorod
11.02.2014,-5.0,-8.0,-6.6,,4,,-11.6,NizhniNovgorod
12.02.2014,1.0,-8.0,-3.8,,3,1.0,-7.8,NizhniNovgorod
13.02.2014,3.0,-4.4,1.4,,3,0.0,-2.0,NizhniNovgorod
14.02.2014,4.0,0.1,2.6,,2,0.0,0.0,NizhniNovgorod
15.02.2014,2.0,0.2,1.1,,2,,-1.6,NizhniNovgorod
16.02.2014,2.0,0.4,1.2,,1,,-0.8,NizhniNovgorod
17.02.2014,3.0,0.0,1.1,,3,,-2.3,NizhniNovgorod
18.02.2014,2.0,-0.3,0.7,,2,2.0,-2.0,NizhniNovgorod
19.02.2014,2.0,0.0,1.3,,3,1.0,-2.1,NizhniNovgorod
20.02.2014,1.0,-2.0,-0.4,,1,,-2.8,NizhniNovgorod
21.02.2014,-1.0,-10.0,-3.4,,3,2.0,-7.4,NizhniNovgorod
22.02.2014,-10.0,-15.4,-12.1,,4,,-17.6,NizhniNovgorod
23.02.2014,0.0,-13.4,-3.1,,4,1.0,-7.6,NizhniNovgorod
24.02.2014,1.0,-2.1,-0.4,,3,,-4.0,NizhniNovgorod
25.02.2014,1.0,-5.0,-1.6,,2,0.0,-4.9,NizhniNovgorod
26.02.2014,1.0,-12.0,-5.7,,2,0.0,-9.5,NizhniNovgorod
27.02.2014,0.8,-15.0,-7.8,,1,0.0,-11.1,NizhniNovgorod
28.02.2014,2.2,-17.0,-7.4,,1,0.0,-10.7,NizhniNovgorod
01.03.2014,-5.0,-14.0,-7.6,,3,,-12.0,NizhniNovgorod
02.03.2014,-3.0,-6.9,-4.3,,3,,-8.4,NizhniNovgorod
03.03.2014,0.0,-4.9,-1.4,,2,1.0,-4.5,NizhniNovgorod
04.03.2014,0.0,-6.0,-2.5,,2,0.0,-5.9,NizhniNovgorod
05.03.2014,3.0,-10.0,-2.7,,1,0.0,-5.5,NizhniNovgorod
06.03.2014,4.0,-10.0,-1.8,,1,0.0,-4.4,NizhniNovgorod
07.03.2014,5.0,-12.0,-1.4,,2,0.0,-4.8,NizhniNovgorod
08.03.2014,7.0,-1.3,2.8,,3,0.0,-0.8,NizhniNovgorod
09.03.2014,5.0,-0.3,2.6,,3,1.0,-0.9,NizhniNovgorod
10.03.2014,9.0,0.9,5.0,,3,0.0,1.5,NizhniNovgorod
11.03.2014,8.0,0.0,3.8,,3,,0.3,NizhniNovgorod
12.03.2014,4.0,0.9,2.4,,2,0.0,-0.4,NizhniNovgorod
13.03.2014,7.0,0.0,4.2,,3,0.0,0.7,NizhniNovgorod
14.03.2014,7.0,-2.0,2.9,,3,,-0.5,NizhniNovgorod
15.03.2014,6.0,0.0,3.9,,5,,-1.0,NizhniNovgorod
16.03.2014,6.0,0.0,3.7,,5,,-1.0,NizhniNovgorod
17.03.2014,5.0,-1.5,1.6,,3,,-2.1,NizhniNovgorod
18.03.2014,4.0,-3.0,0.4,,3,,-3.4,NizhniNovgorod
19.03.2014,0.0,-6.0,-3.2,,4,,-8.0,NizhniNovgorod
20.03.2014,-1.0,-11.0,-5.2,,2,0.0,-8.9,NizhniNovgorod
21.03.2014,2.0,-11.0,-2.4,,3,0.0,-6.6,NizhniNovgorod
22.03.2014,13.0,-1.1,6.4,,3,,3.2,NizhniNovgorod
23.03.2014,11.0,1.0,6.2,,2,,3.9,NizhniNovgorod
24.03.2014,17.0,3.0,10.1,,4,0.0,6.5,NizhniNovgorod
25.03.2014,16.0,3.0,8.6,,4,0.0,5.0,NizhniNovgorod
26.03.2014,6.0,-6.0,1.9,,3,2.0,-1.6,NizhniNovgorod
27.03.2014,9.0,-8.0,2.8,,2,0.0,-0.5,NizhniNovgorod
28.03.2014,2.0,-5.2,-1.1,,6,,-7.3,NizhniNovgorod
29.03.2014,3.0,-8.0,-1.8,,6,0.0,-8.0,NizhniNovgorod
30.03.2014,5.0,-10.0,-1.1,,2,0.0,-4.6,NizhniNovgorod
31.03.2014,2.0,-9.0,-1.7,,2,0.0,-5.0,NizhniNovgorod
01.04.2014,3.0,-9.0,-2.0,,3,0.0,-6.2,NizhniNovgorod
